"Timestamp","Node","CPU_Usage","Memory_Usage","Disk_Usage","Network_Usage","Pod_Status","K8s_Event_Log","System_Log","Network_Error"
"2025-03-22 13:06:34","node-18","96%","95%","74%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:10:36","node-19","15%","18%","15%","Normal","Failed","Container OOMKilled","High CPU warning","Packet Loss"
"2025-03-22 13:18:52","node-20","38%","49%","94%","Congested","Unknown","Node NotReady","Kubelet restart detected","Packet Loss"
"2025-03-22 13:21:22","node-21","13%","51%","42%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 14:00:01","node-22","90%","60%","75%","Congested","Unknown","Pod eviction error","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:52:10","node-23","73%","91%","68%","High Traffic","Pending","Volume mount error","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:42:51","node-24","50%","27%","55%","High Traffic","CrashLoopBackOff","Container OOMKilled","High CPU warning","Packet Loss"
"2025-03-22 13:59:42","node-25","69%","67%","96%","High Traffic","Pending","Volume mount error","Kubelet restart detected","Timeout detected"
"2025-03-22 13:19:59","node-26","49%","8%","65%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:15:41","node-27","78%","73%","58%","Congested","Pending","Node NotReady","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:19:16","node-28","21%","49%","10%","High Traffic","Pending","Node NotReady","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:11:37","node-29","28%","81%","32%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:56:30","node-30","98%","11%","89%","Congested","Terminating","Container OOMKilled","Disk Failure","Packet Loss"
"2025-03-22 13:08:45","node-31","53%","67%","34%","Congested","Terminating","Volume mount error","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:22:08","node-32","26%","78%","21%","Congested","Unknown","Container OOMKilled","Disk Failure","Timeout detected"
"2025-03-22 13:14:25","node-33","67%","87%","55%","Normal","Failed","Pod eviction error","Disk Failure","Timeout detected"
"2025-03-22 13:25:07","node-34","14%","23%","81%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:05:42","node-35","60%","61%","89%","Normal","CrashLoopBackOff","Node NotReady","Disk Failure","Connection Refused"
"2025-03-22 13:39:40","node-36","55%","43%","10%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:15:35","node-37","11%","87%","76%","Normal","Terminating","Volume mount error","Disk Failure","Packet Loss"
"2025-03-22 13:58:33","node-38","90%","70%","98%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:44:56","node-39","19%","77%","85%","High Traffic","Unknown","Pod eviction error","Disk Failure","Packet Loss"
"2025-03-22 13:04:50","node-40","10%","70%","37%","Normal","Terminating","Volume mount error","Kubelet restart detected","Connection Refused"
"2025-03-22 13:24:23","node-41","12%","60%","61%","Congested","CrashLoopBackOff","Container OOMKilled","High CPU warning","Timeout detected"
"2025-03-22 13:27:07","node-42","24%","85%","11%","Congested","Unknown","Node NotReady","High CPU warning","Connection Refused"
"2025-03-22 13:17:07","node-43","26%","52%","74%","Normal","Terminating","Container OOMKilled","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:04:58","node-44","15%","39%","14%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:38:35","node-45","8%","8%","95%","High Traffic","Unknown","Container OOMKilled","Kernel Panic","Timeout detected"
"2025-03-22 13:28:14","node-46","48%","27%","27%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:50:58","node-47","22%","54%","87%","Congested","Terminating","Node NotReady","Disk Failure","Timeout detected"
"2025-03-22 13:34:49","node-48","34%","79%","23%","Congested","Unknown","Container OOMKilled","High CPU warning","Connection Refused"
"2025-03-22 13:46:30","node-49","42%","65%","66%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:39:36","node-50","30%","24%","57%","Congested","Failed","Node NotReady","Disk Failure","Packet Loss"
"2025-03-22 13:39:16","node-51","68%","7%","85%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:16:06","node-52","30%","75%","22%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:45:14","node-53","59%","28%","23%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:53:55","node-54","88%","5%","57%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:59:36","node-55","57%","44%","23%","Congested","Unknown","Pod eviction error","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:33:49","node-56","72%","85%","67%","High Traffic","CrashLoopBackOff","Container OOMKilled","Kubelet restart detected","Packet Loss"
"2025-03-22 13:38:51","node-57","42%","87%","27%","Congested","CrashLoopBackOff","Volume mount error","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:07:48","node-58","70%","28%","86%","Normal","Pending","Node NotReady","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:56:33","node-59","90%","12%","73%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:12:38","node-60","56%","78%","38%","Normal","Unknown","Pod eviction error","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:43:14","node-61","40%","71%","47%","Congested","Terminating","Container OOMKilled","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:12:58","node-62","68%","77%","58%","Congested","Unknown","Volume mount error","High CPU warning","Packet Loss"
"2025-03-22 13:06:41","node-63","75%","56%","63%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:59:47","node-64","87%","75%","34%","Congested","Unknown","Container OOMKilled","High CPU warning","Packet Loss"
"2025-03-22 13:17:50","node-65","80%","62%","19%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:06:45","node-66","26%","60%","61%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:34:45","node-67","74%","35%","12%","High Traffic","Terminating","Volume mount error","High CPU warning","Timeout detected"
"2025-03-22 13:59:37","node-68","15%","82%","85%","Normal","CrashLoopBackOff","Volume mount error","Kernel Panic","Connection Refused"
"2025-03-22 13:38:44","node-69","66%","90%","93%","Normal","Unknown","Volume mount error","High CPU warning","Packet Loss"
"2025-03-22 13:25:12","node-70","18%","38%","85%","High Traffic","CrashLoopBackOff","Container OOMKilled","Disk Failure","Packet Loss"
"2025-03-22 13:44:16","node-71","69%","55%","55%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:11:51","node-72","5%","87%","41%","Normal","Unknown","Volume mount error","High CPU warning","Packet Loss"
"2025-03-22 13:22:26","node-73","22%","41%","76%","High Traffic","CrashLoopBackOff","Volume mount error","Kernel Panic","Packet Loss"
"2025-03-22 13:05:04","node-74","97%","36%","63%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:10:35","node-75","58%","73%","21%","High Traffic","Pending","Container OOMKilled","Disk Failure","Packet Loss"
"2025-03-22 13:57:11","node-76","68%","48%","59%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:07:15","node-77","84%","74%","45%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:52:06","node-78","44%","70%","48%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:30:55","node-79","98%","90%","24%","Congested","Pending","Pod eviction error","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:29:37","node-80","46%","15%","39%","Congested","Pending","Container OOMKilled","Kubelet restart detected","Connection Refused"
"2025-03-22 13:21:23","node-81","42%","80%","91%","High Traffic","Pending","Pod eviction error","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:13:15","node-82","12%","55%","63%","Congested","CrashLoopBackOff","Pod eviction error","Kubelet restart detected","Timeout detected"
"2025-03-22 13:32:10","node-83","14%","89%","85%","Normal","Unknown","Pod eviction error","Kubelet restart detected","Packet Loss"
"2025-03-22 13:12:56","node-84","88%","64%","94%","High Traffic","Failed","Volume mount error","Kernel Panic","DNS Resolution Failure"
"2025-03-22 13:31:58","node-85","76%","48%","28%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:08:07","node-86","90%","29%","77%","Congested","Pending","Container OOMKilled","High CPU warning","Packet Loss"
"2025-03-22 13:35:11","node-87","30%","30%","51%","Congested","Unknown","Pod eviction error","Disk Failure","Packet Loss"
"2025-03-22 13:48:31","node-88","46%","75%","13%","High Traffic","Unknown","Volume mount error","Kubelet restart detected","Packet Loss"
"2025-03-22 13:09:16","node-89","88%","55%","11%","Normal","Failed","Node NotReady","Kernel Panic","DNS Resolution Failure"
"2025-03-22 13:42:01","node-90","78%","54%","74%","Normal","CrashLoopBackOff","Volume mount error","Kubelet restart detected","Connection Refused"
"2025-03-22 13:49:55","node-91","87%","16%","71%","Congested","Failed","Node NotReady","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:10:02","node-92","48%","78%","41%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:28:58","node-93","20%","20%","66%","Congested","Failed","Node NotReady","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:37:52","node-94","76%","39%","68%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:27:33","node-95","89%","90%","85%","High Traffic","Terminating","Node NotReady","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:15:30","node-96","68%","71%","82%","Normal","Failed","Node NotReady","Kernel Panic","DNS Resolution Failure"
"2025-03-22 13:51:14","node-97","97%","29%","35%","Normal","Terminating","Container OOMKilled","Disk Failure","Timeout detected"
"2025-03-22 13:28:05","node-98","57%","41%","56%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:53:20","node-99","33%","68%","72%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:27:36","node-100","98%","98%","66%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:15:04","node-101","13%","11%","21%","High Traffic","Failed","Volume mount error","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:24:51","node-102","26%","37%","90%","Normal","Failed","Node NotReady","Disk Failure","Connection Refused"
"2025-03-22 13:52:19","node-103","10%","61%","19%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:25:12","node-104","57%","74%","21%","High Traffic","Terminating","Pod eviction error","Kernel Panic","Timeout detected"
"2025-03-22 13:25:42","node-105","24%","38%","13%","Congested","Failed","Container OOMKilled","Disk Failure","Timeout detected"
"2025-03-22 13:43:10","node-106","74%","8%","65%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:13:57","node-107","62%","15%","83%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 14:00:49","node-108","46%","36%","43%","Congested","Failed","Volume mount error","High CPU warning","Connection Refused"
"2025-03-22 13:29:06","node-109","59%","41%","35%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:40:35","node-110","15%","94%","91%","High Traffic","CrashLoopBackOff","Volume mount error","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:29:08","node-111","24%","62%","39%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:44:17","node-112","64%","57%","18%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:17:52","node-113","24%","35%","59%","Congested","CrashLoopBackOff","Container OOMKilled","Kernel Panic","DNS Resolution Failure"
"2025-03-22 13:07:39","node-114","90%","94%","45%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:42:15","node-115","68%","66%","73%","Congested","CrashLoopBackOff","Node NotReady","Disk Failure","Timeout detected"
"2025-03-22 13:40:20","node-116","66%","84%","60%","Congested","CrashLoopBackOff","Node NotReady","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:45:56","node-117","54%","11%","16%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:16:56","node-118","39%","76%","52%","Normal","Failed","Volume mount error","Kernel Panic","Packet Loss"
"2025-03-22 13:30:07","node-119","75%","87%","54%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:42:07","node-120","13%","97%","99%","Normal","Terminating","Pod eviction error","High CPU warning","Timeout detected"
"2025-03-22 13:33:45","node-121","65%","79%","39%","Normal","Terminating","Pod eviction error","Disk Failure","Packet Loss"
"2025-03-22 13:02:32","node-122","43%","70%","51%","Normal","Unknown","Volume mount error","Kubelet restart detected","Packet Loss"
"2025-03-22 13:39:29","node-123","41%","64%","90%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:32:42","node-124","30%","78%","43%","High Traffic","Pending","Container OOMKilled","Disk Failure","Timeout detected"
"2025-03-22 13:24:12","node-125","91%","11%","75%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:59:34","node-126","78%","54%","25%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:37:14","node-127","18%","85%","16%","Normal","CrashLoopBackOff","Container OOMKilled","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:48:06","node-128","45%","35%","17%","High Traffic","CrashLoopBackOff","Container OOMKilled","Kubelet restart detected","Packet Loss"
"2025-03-22 13:40:08","node-129","63%","17%","22%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:51:27","node-130","76%","85%","48%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:38:58","node-131","34%","27%","52%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:33:57","node-132","98%","42%","34%","High Traffic","Failed","Volume mount error","Kernel Panic","Timeout detected"
"2025-03-22 13:33:53","node-133","69%","10%","59%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:34:04","node-134","48%","27%","47%","Congested","CrashLoopBackOff","Volume mount error","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:44:38","node-135","91%","28%","35%","High Traffic","Unknown","Volume mount error","Kubelet restart detected","Timeout detected"
"2025-03-22 13:55:29","node-136","45%","67%","89%","Normal","Pending","Pod eviction error","Kernel Panic","Timeout detected"
"2025-03-22 13:07:27","node-137","22%","59%","24%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 14:00:51","node-138","83%","71%","79%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:18:41","node-139","67%","54%","77%","High Traffic","Pending","Pod eviction error","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:59:49","node-140","37%","52%","84%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:06:21","node-141","58%","77%","71%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:56:12","node-142","27%","78%","22%","High Traffic","Pending","Node NotReady","High CPU warning","Packet Loss"
"2025-03-22 13:05:56","node-143","78%","74%","97%","High Traffic","Pending","Volume mount error","Kubelet restart detected","Connection Refused"
"2025-03-22 13:28:00","node-144","15%","61%","84%","Congested","Terminating","Pod eviction error","Disk Failure","Packet Loss"
"2025-03-22 13:18:46","node-145","42%","91%","24%","Normal","Pending","Pod eviction error","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:26:18","node-146","19%","41%","58%","Congested","Failed","Node NotReady","Kernel Panic","Packet Loss"
"2025-03-22 13:49:01","node-147","8%","97%","55%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:58:51","node-148","25%","99%","60%","High Traffic","Terminating","Volume mount error","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:21:20","node-149","42%","8%","53%","High Traffic","CrashLoopBackOff","Node NotReady","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:54:07","node-150","90%","52%","10%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:35:40","node-151","10%","91%","76%","Congested","Failed","Node NotReady","Kubelet restart detected","Packet Loss"
"2025-03-22 13:20:20","node-152","82%","73%","77%","Normal","Pending","Volume mount error","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:09:56","node-153","31%","7%","99%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:35:36","node-154","49%","74%","49%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:44:16","node-155","33%","77%","53%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:29:04","node-156","27%","6%","11%","Congested","Pending","Node NotReady","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:09:10","node-157","87%","60%","30%","High Traffic","Terminating","Pod eviction error","High CPU warning","Packet Loss"
"2025-03-22 13:39:21","node-158","42%","88%","39%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:52:39","node-159","86%","5%","99%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:55:52","node-160","38%","92%","84%","Normal","Unknown","Node NotReady","Kernel Panic","Connection Refused"
"2025-03-22 13:57:13","node-161","32%","41%","69%","Congested","Terminating","Container OOMKilled","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:14:54","node-162","49%","59%","29%","Normal","Terminating","Volume mount error","Kernel Panic","Connection Refused"
"2025-03-22 13:27:13","node-163","28%","13%","79%","High Traffic","Unknown","Node NotReady","Kubelet restart detected","Connection Refused"
"2025-03-22 13:18:27","node-164","24%","80%","99%","Normal","Terminating","Pod eviction error","High CPU warning","Timeout detected"
"2025-03-22 13:58:21","node-165","80%","85%","36%","Normal","Pending","Volume mount error","Kubelet restart detected","Packet Loss"
"2025-03-22 13:38:54","node-166","29%","87%","39%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:49:49","node-167","79%","43%","70%","Normal","Pending","Volume mount error","Kernel Panic","DNS Resolution Failure"
"2025-03-22 13:21:44","node-168","63%","25%","96%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:53:56","node-169","16%","84%","46%","High Traffic","Pending","Node NotReady","Disk Failure","Timeout detected"
"2025-03-22 13:34:56","node-170","66%","37%","21%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:53:08","node-171","13%","21%","58%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:50:34","node-172","40%","43%","13%","High Traffic","Unknown","Pod eviction error","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:14:56","node-173","76%","51%","99%","High Traffic","Terminating","Container OOMKilled","Kernel Panic","DNS Resolution Failure"
"2025-03-22 14:01:22","node-174","52%","28%","71%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:14:26","node-175","19%","99%","98%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:22:46","node-176","71%","92%","20%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:07:11","node-177","64%","81%","54%","Normal","Terminating","Node NotReady","High CPU warning","Timeout detected"
"2025-03-22 13:39:52","node-178","52%","81%","95%","Congested","Failed","Pod eviction error","Kernel Panic","Timeout detected"
"2025-03-22 14:01:04","node-179","37%","36%","29%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:40:30","node-180","52%","43%","54%","Congested","Failed","Container OOMKilled","Kernel Panic","Packet Loss"
"2025-03-22 13:37:01","node-181","85%","27%","77%","High Traffic","Failed","Container OOMKilled","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:26:27","node-182","98%","47%","52%","Normal","Failed","Node NotReady","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:37:28","node-183","89%","42%","29%","High Traffic","Unknown","Volume mount error","Kernel Panic","Timeout detected"
"2025-03-22 13:21:47","node-184","24%","79%","98%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:57:55","node-185","66%","60%","72%","High Traffic","Pending","Pod eviction error","High CPU warning","DNS Resolution Failure"
"2025-03-22 13:32:37","node-186","87%","58%","17%","High Traffic","Failed","Node NotReady","Kubelet restart detected","Connection Refused"
"2025-03-22 13:49:44","node-187","70%","26%","54%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:22:10","node-188","41%","11%","95%","Normal","Failed","Volume mount error","High CPU warning","Packet Loss"
"2025-03-22 13:24:53","node-189","45%","83%","99%","Normal","Pending","Node NotReady","Kubelet restart detected","Timeout detected"
"2025-03-22 13:14:53","node-190","66%","60%","15%","Congested","Terminating","Container OOMKilled","Disk Failure","Timeout detected"
"2025-03-22 13:07:33","node-191","58%","49%","81%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:38:44","node-192","39%","90%","23%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:36:21","node-193","91%","40%","87%","Normal","Unknown","Pod eviction error","High CPU warning","Timeout detected"
"2025-03-22 13:41:49","node-194","86%","21%","63%","Congested","Unknown","Volume mount error","High CPU warning","Packet Loss"
"2025-03-22 13:29:30","node-195","20%","7%","72%","High Traffic","Unknown","Pod eviction error","Kubelet restart detected","DNS Resolution Failure"
"2025-03-22 13:04:57","node-196","40%","69%","55%","High Traffic","Terminating","Container OOMKilled","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:45:40","node-197","70%","81%","23%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:49:50","node-198","16%","21%","75%","Congested","Unknown","Pod eviction error","Kernel Panic","DNS Resolution Failure"
"2025-03-22 13:33:01","node-199","61%","77%","26%","Normal","CrashLoopBackOff","Node NotReady","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:38:45","node-200","42%","61%","33%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:59:41","node-201","40%","83%","37%","Congested","Unknown","Pod eviction error","Kernel Panic","DNS Resolution Failure"
"2025-03-22 13:54:53","node-202","53%","56%","70%","High Traffic","CrashLoopBackOff","Volume mount error","Kubelet restart detected","Packet Loss"
"2025-03-22 13:03:25","node-203","46%","87%","50%","High Traffic","Unknown","Container OOMKilled","High CPU warning","Timeout detected"
"2025-03-22 13:52:50","node-204","41%","49%","24%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:37:03","node-205","38%","67%","51%","High Traffic","Unknown","Container OOMKilled","Kubelet restart detected","Timeout detected"
"2025-03-22 13:18:26","node-206","65%","88%","60%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:38:32","node-207","83%","13%","87%","Congested","CrashLoopBackOff","Node NotReady","High CPU warning","Packet Loss"
"2025-03-22 13:36:09","node-208","48%","75%","22%","High Traffic","Terminating","Volume mount error","High CPU warning","Timeout detected"
"2025-03-22 13:28:10","node-209","11%","87%","30%","High Traffic","Terminating","Container OOMKilled","Kubelet restart detected","Connection Refused"
"2025-03-22 13:08:57","node-210","77%","72%","90%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:40:43","node-211","90%","63%","24%","High Traffic","Unknown","Pod eviction error","Disk Failure","Timeout detected"
"2025-03-22 13:03:08","node-212","41%","29%","32%","High Traffic","Unknown","Container OOMKilled","Kubelet restart detected","Connection Refused"
"2025-03-22 13:47:54","node-213","43%","44%","58%","Congested","CrashLoopBackOff","Node NotReady","Kubelet restart detected","Timeout detected"
"2025-03-22 13:33:00","node-214","51%","98%","22%","Congested","CrashLoopBackOff","Node NotReady","Kernel Panic","Packet Loss"
"2025-03-22 13:40:58","node-215","61%","20%","10%","Normal","Unknown","Node NotReady","High CPU warning","Packet Loss"
"2025-03-22 13:09:31","node-216","51%","82%","49%","Congested","Failed","Node NotReady","Kernel Panic","Packet Loss"
"2025-03-22 13:27:13","node-217","54%","64%","88%","Congested","Pending","Container OOMKilled","Disk Failure","DNS Resolution Failure"
"2025-03-22 13:02:10","node-218","10%","80%","19%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:15:22","node-219","11%","81%","31%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:22:46","node-220","71%","27%","54%","High Traffic","CrashLoopBackOff","Volume mount error","Kubelet restart detected","Connection Refused"
"2025-03-22 13:51:49","node-221","89%","35%","92%","Normal","Pending","Volume mount error","Disk Failure","Timeout detected"
"2025-03-22 13:36:46","node-222","17%","98%","34%","High Traffic","Terminating","Node NotReady","Kubelet restart detected","Timeout detected"
"2025-03-22 13:55:39","node-223","33%","85%","62%","Congested","Failed","Container OOMKilled","High CPU warning","Connection Refused"
"2025-03-22 13:16:19","node-224","20%","11%","21%","Congested","CrashLoopBackOff","Volume mount error","Kernel Panic","Timeout detected"
"2025-03-22 13:44:29","node-225","10%","32%","34%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:55:33","node-226","27%","65%","58%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:48:33","node-227","7%","78%","28%","High Traffic","Terminating","Node NotReady","Kernel Panic","Timeout detected"
"2025-03-22 13:58:20","node-228","9%","56%","98%","Congested","CrashLoopBackOff","Volume mount error","Kernel Panic","Packet Loss"
"2025-03-22 13:42:30","node-229","9%","83%","45%","High Traffic","Unknown","Pod eviction error","Kernel Panic","Packet Loss"
"2025-03-22 13:28:46","node-230","87%","51%","89%","High Traffic","Unknown","Pod eviction error","Kernel Panic","Timeout detected"
"2025-03-22 13:56:25","node-231","72%","36%","82%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:19:39","node-232","56%","64%","94%","Normal","Unknown","Node NotReady","Disk Failure","DNS Resolution Failure"
"2025-03-22 14:00:56","node-233","20%","24%","76%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:08:23","node-234","83%","42%","75%","High Traffic","Terminating","Container OOMKilled","Disk Failure","Packet Loss"
"2025-03-22 13:07:29","node-235","11%","31%","90%","Congested","Unknown","Pod eviction error","High CPU warning","Packet Loss"
